area_util,banheiros,vagas,quartos,suites,latitude,longitude,dist_terreno,preco,preco_m2
138,4,3,3,3,-26.9791573,-48.63879,0.739385884860746,2049986,14854.971014492754
315,5,4,4,4,-26.9887762,-48.6305212,0.763344329501397,7800000,24761.904761904763
183,4,4,4,4,-26.9923,-48.6315,0.940243309238411,2850000,15573.77049180328
113,3,2,3,2,-26.976538,-48.637538,1.01786992014094,950000,8407.079646017699
263,3,3,4,2,-26.99525,-48.631054,1.23672149256242,1305000,4961.977186311787
151,4,4,3,3,-26.9806021,-48.6362939,0.575665739027648,1850000,12251.655629139073
130,0,2,3,3,-26.9804639,-48.6372846,0.580821575675557,1500000,11538.461538461539
167,0,2,4,4,-26.9899208,-48.6323781,0.685373526797287,2780000,16646.70658682635
138,4,2,4,2,-26.88595390319824,-48.64838790893555,11.1550840498794,1100000,7971.014492753623
136,4,2,3,3,-27.01386451721192,-48.64971160888672,3.3671219144816,1200000,8823.529411764706
140,4,3,3,3,-26.9914922092251,-48.6335108010498,0.75260984394174,999000,7135.714285714285
120,0,2,3,3,-27.000856,-48.628797,1.89205845148316,1100000,9166.666666666666
158,3,2,4,2,-26.996728,-48.627043,1.60165813677946,2395000,15158.227848101265
118,2,2,3,1,-27.003241,-48.618286,2.72235722391163,2350000,19915.254237288136
174,4,3,4,4,-26.9764323,-48.63807739999999,1.03179821639506,1642900,9441.954022988506
46,1,0,1,0,-26.99343,-48.629845,1.14191463978012,325000,7065.217391304348
70,2,1,2,1,-27.0015756,-48.637905,1.77015602883609,680000,9714.285714285714
158,4,2,4,1,-26.991071701049805,-48.635208129882805,0.637881851763204,1150000,7278.481012658228
183,4,3,3,3,-26.97134017944336,-48.63378143310546,1.63597684016095,3800000,20765.02732240437
126,4,1,3,3,-26.99589,-48.62878599999999,1.42114032837366,1468000,11650.79365079365
140,0,3,3,3,-26.9716975,-48.6347765,1.57801016086491,1880000,13428.57142857143
237,4,4,4,4,-27.0054577689886,-48.6048531243286,3.90655749551702,7700000,32489.45147679325
284,6,3,4,4,-27.000497,-48.621849,2.2574336484947,5650000,19894.3661971831
250,6,4,3,3,-26.9966717,-48.6256258,1.69062109453206,3300000,13200.0
145,3,2,3,1,-26.972949,-48.6347639,1.44099033051897,2950000,20344.827586206895
86,2,1,2,1,-26.9769621,-48.6431593,1.12685030348428,574000,6674.418604651163
160,5,3,4,4,-27.0070079,-48.6108241,3.54666802781338,3500000,21875.0
140,5,2,3,3,-26.99162673950196,-48.63743591308594,0.661927367337089,1750000,12500.0
200,4,2,3,3,-26.99697494506836,-48.62507247924805,1.75300453326487,2600000,13000.0
149,4,2,4,4,-26.9984,-48.6323,1.50315597857631,1980000,13288.590604026846
200,3,5,2,2,-26.9902466,-48.6306619,0.838731328455904,3660800,18304.0
121,3,2,3,2,-27.00084197536892,-48.627994996295165,1.92782784302659,1470000,12148.760330578512
161,0,3,4,4,-26.970443,-48.6327891,1.75653053912053,3219800,19998.757763975154
158,2,2,2,2,-26.9565618,-48.6362644,3.24341632061572,899000,5689.873417721519
270,5,3,4,4,-26.9692179,-48.6359983,1.83780676096918,3850000,14259.25925925926
118,4,2,3,3,-26.988342,-48.63582489999999,0.334364992057225,850000,7203.389830508475
65,2,2,2,1,-26.981502532958984,-48.646446228027344,1.01184750509162,590000,9076.923076923076
235,5,3,4,4,-26.9745941,-48.6369691,1.23485311375655,3800000,16170.212765957447
380,6,2,5,4,-26.9959405,-48.6263125,1.58472326179485,4800000,12631.578947368422
128,5,3,3,3,-26.99503707885742,-48.629878997802734,1.28046281106387,2760000,21562.5
193,4,0,4,4,-26.9961325,-48.6322907,1.26859449314951,1799000,9321.243523316061
130,4,2,4,4,-26.9997,-48.6263,1.90922600961191,2200000,16923.076923076922
133,4,3,4,2,-26.9793854,-48.6376626,0.701319994132997,1650000,12406.015037593985
240,5,4,4,4,-26.9937,-48.6334,0.976417070991919,2950000,12291.666666666666
219,0,4,3,3,-26.9985677,-48.6315853,1.54572701683968,2900000,13242.009132420091
70,2,1,2,1,-26.9903046,-48.631800600000005,0.75638007001931,550000,7857.142857142857
136,3,2,3,1,-27.0011858,-48.6298047,1.88279332287048,1100000,8088.235294117647
140,4,3,3,3,-27.00056838989257,-48.62253189086913,2.21767010709154,1550000,11071.42857142857
80,2,2,2,1,-26.98163223266601,-48.63901519775391,0.47871938621121,625000,7812.5
165,4,2,3,3,-26.9861,-48.6377,0.0560216141460576,1450000,8787.878787878788
60,2,2,2,1,-26.9808,-48.6455,0.970986828594873,610000,10166.666666666666
231,5,4,4,4,-26.9895532,-48.6371258,0.43186686787739,1930000,8354.978354978355
368,0,4,4,4,-27.0040196,-48.6170073,2.87302914146423,6660000,18097.82608695652
155,3,4,3,3,-26.999111,-48.62504100000001,1.93263944410442,2204158,14220.374193548387
153,5,3,4,4,-26.9808,-48.6346,0.609647023644885,1900000,12418.300653594772
62,2,1,2,1,-26.9828773,-48.643957,0.722545165049042,669900,10804.838709677419
208,3,3,3,3,-27.001332,-48.622326,2.29513240993095,1900000,9134.615384615385
371,0,3,4,4,-27.005723,-48.6124648,3.33003214789901,6412000,17283.01886792453
206,2,3,3,3,-26.990806579589844,-48.63825607299805,0.577075544600692,1800000,8737.864077669903
100,0,2,3,1,-26.9857617,-48.63641150000001,0.0972569365575585,680000,6800.0
160,4,4,4,4,-26.9709,-48.6362,1.64959340443249,2700000,16875.0
87,2,2,3,1,-26.987060546875,-48.63302993774414,0.458762265756455,650000,7471.264367816092
283,5,3,4,4,-26.9710628,-48.6363283,1.63064759837271,6500000,22968.197879858657
132,2,3,2,2,-26.9798802,-48.638320500000006,0.652305528385291,2888000,21878.78787878788
173,4,4,4,4,-26.9957274,-48.63833940000001,1.1223707511721,1964000,11352.601156069364
105,3,2,2,2,-26.9741916,-48.6361927,1.28444325169427,1075000,10238.095238095239
125,3,2,3,3,-27.0007,-48.6249,2.08079946871063,1780000,14240.0
160,5,3,4,4,-26.9703,-48.6328,1.77162975271573,2830000,17687.5
120,2,2,3,1,-26.9852868,-48.6372456,0.0460588282219699,1150000,9583.333333333334
75,1,1,2,0,-26.99520301818848,-48.62832260131836,1.39004378591256,640000,8533.333333333334
140,3,3,3,2,-26.9696408,-48.634424,1.8095986707928,1650000,11785.714285714286
192,7,2,3,3,-26.9855549,-48.634198200000014,0.316705214726475,2870000,14947.916666666666
70,2,2,2,1,-26.9811,-48.6417,0.665596965138083,560000,8000.0
110,2,2,3,1,-27.003241,-48.618286000000005,2.72235722391075,2450000,22272.727272727272
165,3,4,3,3,-26.9711339,-48.6338366,1.6572196076388,3600000,21818.18181818182
143,4,3,3,3,-26.9978254,-48.6327743,1.42729212149976,2699880,18880.27972027972
133,4,3,3,3,-26.9699,-48.6349,1.77395059624939,2200000,16541.353383458645
237,4,4,4,4,-27.0054577689886,-48.6048531243286,3.90655749551702,7900000,33333.333333333336
140,4,3,4,4,-26.991072,-48.635208,0.637917527685651,1814000,12957.142857142857
171,3,2,4,2,-26.986479,-48.6381687,0.117896028312617,745000,4356.725146198831
271,4,2,3,0,-26.9733186,-48.6370975,1.37644378099004,2170000,8007.380073800738
182,5,3,3,3,-26.9714,-48.6339,1.62693741553398,4500000,24725.274725274725
57,1,1,2,0,-26.997002,-48.6432093,1.38628219522574,769880,13506.666666666666
270,3,2,3,3,-26.981078,-48.639532,0.554771739820124,1200000,4444.444444444444
135,4,4,3,3,-26.9939462,-48.6349113,0.952337846487934,1480000,10962.962962962964
142,5,3,4,4,-26.9701108,-48.6344973,1.75679262344162,2385000,16795.774647887323
130,4,3,3,3,-26.983648756596168,-48.63683388941041,0.232770949478134,2310000,17769.23076923077
135,7,2,3,3,-26.9765565,-48.637202,1.01586834619831,1242000,9200.0
134,0,2,4,2,-26.9915352,-48.6331318,0.77650918780047,2060000,15373.134328358208
89,3,2,2,2,-26.991071701049805,-48.635208129882805,0.637881851763204,850000,9550.561797752809
80,0,1,2,0,-26.9968392,-48.6270439,1.61112506949885,750000,9375.0
167,5,3,4,4,-26.9805,-48.6363,0.586720064632807,2590000,15508.982035928144
120,0,2,3,1,-26.982932,-48.6366967,0.313567979925079,850000,7083.333333333333
90,3,2,3,3,-26.956,-48.6341,3.32010183198607,775000,8611.111111111111
73,1,1,2,0,-26.9959851,-48.62782759999999,1.48831582602251,450000,6164.3835616438355
87,2,1,2,1,-26.98539382356306,-48.63565423166887,0.174898808132375,550000,6321.83908045977
67,1,1,2,1,-26.9822253,-48.6441768,0.775588012666152,650000,9701.492537313432
215,2,2,2,2,-26.9565618,-48.6362644,3.24341632061572,1699000,7902.325581395349
237,5,3,4,3,-26.9818958,-48.634501,0.509436128865251,5100000,21518.98734177215
194,5,3,4,4,-27.0066683,-48.6084712,3.69934099497081,4489900,23143.81443298969
264,6,4,4,4,-26.9740667,-48.6352155,1.3107002923581,7400000,28030.303030303032
240,1,2,3,3,-26.98223259307355,-48.634438328588885,0.482635382030536,2550000,10625.0
69,2,2,2,1,-26.981494903564453,-48.646427154541016,1.01055886639792,650000,9420.289855072464
113,3,3,3,3,-26.9988188,-48.6287112,1.69696863511361,1696000,15008.849557522124
31,1,1,1,0,-26.9810816,-48.6403849,0.592043173168303,279900,9029.032258064517
145,4,3,3,3,-26.998269,-48.624591,1.89075477892454,1950000,13448.275862068966
130,4,3,3,3,-26.99324417114257,-48.63227462768555,0.982927299379216,1850000,14230.76923076923
292,5,3,4,4,-26.9712673,-48.6336096,1.64768825818993,6500000,22260.27397260274
120,3,1,3,2,-26.9932,-48.6297,1.13233493298487,1190000,9916.666666666666
231,6,4,4,4,-26.99110221862793,-48.629070281982415,1.02223331972451,6720000,29090.909090909092
229,1,0,3,3,-27.0013985,-48.62056210000002,2.41803437582679,2900000,12663.755458515283
164,0,2,4,0,-27.0011858,-48.6298047,1.88279332287048,3573212,21787.878048780487
80,1,1,2,0,-26.991071701049805,-48.635208129882805,0.637881851763204,635000,7937.5
136,4,3,3,3,-26.99766159057617,-48.62652206420898,1.71476901072976,1300000,9558.823529411764
137,1,3,4,4,-26.96689,-48.6353845,2.10119037721951,1850000,13503.649635036496
130,4,2,3,3,-26.9944194,-48.6344927,1.01428910843717,1990000,15307.692307692309
129,4,2,4,2,-26.9806332,-48.6401317,0.624349430718786,2324000,18015.503875968992
129,4,3,3,3,-26.993013,-48.63446,0.866353943324754,1350000,10465.116279069767
143,4,2,4,2,-26.9941487,-48.634029,0.999797935798951,1930800,13502.097902097903
131,4,3,3,3,-26.9944,-48.6345,1.01201286719315,1600000,12213.740458015267
177,6,3,4,4,-26.9899208,-48.6323781,0.685373526797287,3300000,18644.06779661017
174,1,4,3,3,-26.99396705627441,-48.63490676879882,0.954696937283458,1890000,10862.068965517241
130,4,2,3,3,-26.9861172,-48.637674,0.056282116465686,1280000,9846.153846153846
120,4,3,3,3,-26.995568,-48.633797,1.15684554866583,1005000,8375.0
251,5,3,4,4,-26.9740667,-48.6352155,1.3107002923581,7100000,28286.852589641436
122,3,2,3,3,-26.9894321,-48.6387508,0.438949195803735,1299000,10647.540983606557
308,5,4,3,3,-26.9866,-48.6351,0.248943590012937,3800000,12337.662337662337
129,3,2,4,2,-26.9806332,-48.64013169999998,0.624349430718236,1727000,13387.596899224805
117,3,2,3,3,-27.001825,-48.627293,2.05729570082006,1249999,10683.752136752137
92,3,1,3,2,-26.9950448,-48.6270942,1.45917130362661,889999,9673.902173913044
146,4,2,4,4,-26.9722627,-48.6358923,1.50103387664927,1941500,13297.945205479453
68,1,2,2,1,-27.0159421,-48.6036372,4.74912921515306,420000,6176.470588235294
237,5,4,4,4,-27.0057878,-48.6049548,3.91909259801595,7800000,32911.39240506329
71,2,2,2,1,-26.9673,-48.63984,2.06054277876986,645000,9084.507042253521
136,4,3,4,4,-27.0016814,-48.6280726,2.00658459558803,1540000,11323.529411764706
65,2,1,2,1,-27.0086361,-48.6296373,2.66851394372675,459880,7075.076923076923
380,6,2,5,4,-26.9959405,-48.6263125,1.58472326179485,5500000,14473.684210526315
151,4,4,3,3,-26.974671,-48.6363675,1.22976589419175,1897000,12562.913907284768
145,5,4,4,2,-26.9977806,-48.631891,1.45312469580026,1400000,9655.172413793103
107,3,2,3,1,-26.9778223,-48.6461029,1.22993631453088,690000,6448.598130841122
115,3,3,3,3,-26.9793914,-48.6383404,0.706471805631433,1350000,11739.130434782608
163,5,2,4,4,-26.99969291687012,-48.62629699707031,1.90875322596037,1890000,11595.092024539877
133,0,2,3,3,-27.0004678,-48.62668080000003,1.95896864955849,1250000,9398.496240601504
138,4,2,3,3,-27.0034,-48.6217,2.51240139093501,2834000,20536.231884057972
253,5,5,3,3,-26.9866,-48.6359,0.179588026768463,3200000,12648.221343873518
98,2,1,3,1,-26.9831519,-48.6392206,0.335119161429251,630000,6428.571428571428
59,2,1,2,1,-26.992752,-48.644909,1.08456475341406,557200,9444.06779661017
126,3,2,3,3,-27.0025755,-48.6262878,2.17929967910023,850000,6746.0317460317465
100,0,1,3,1,-27.0037978,-48.6232016,2.45915696186152,780000,7800.0
140,4,4,3,3,-26.9939462,-48.6349113,0.952337846487934,1930000,13785.714285714286
143,3,3,3,3,-26.98862075805664,-48.63411712646484,0.460839490602563,2100000,14685.314685314685
119,3,2,3,3,-26.999267578125,-48.62782669067384,1.78522938048071,1390000,11680.672268907563
140,4,1,4,2,-27.00024,-48.623408,2.13299494564975,1100000,7857.142857142857
110,3,2,3,2,-26.9868937,-48.6339926,0.362849731485567,1150000,10454.545454545454
186,5,3,4,3,-26.991733,-48.629028,1.06844870205639,4199800,22579.56989247312
87,1,4,2,1,-26.99156813893688,-48.636325680950925,0.663799696677793,451000,5183.908045977011
66,2,2,2,1,-26.978092,-48.63974870000004,0.876638024330444,590000,8939.39393939394
136,4,2,3,3,-26.9989,-48.6284,1.72055550348562,1370000,10073.529411764706
153,4,3,4,4,-27.0042851,-48.6188076,2.77231543315977,1900000,12418.300653594772
200,5,1,4,3,-26.978228,-48.637566,0.829819299709379,1550000,7750.0
113,4,3,3,3,-26.9977,-48.6271,1.68272591387845,1500000,13274.336283185841
261,3,1,4,2,-26.9779861,-48.6353334,0.880468183687085,3980000,15249.04214559387
136,4,2,4,2,-26.9733186,-48.6370975,1.37644378099004,1700000,12500.0
